OrderYear,OrderMonth,CohortYear,CohortMonth,CohortAge,Number of Customers,Number of Orders,Number of ordering customers,Items ordered,Items returned,   Gross Sales   ,   Net Sales   ,,
Y5,9,Y4,7,14,134,14,7,34,1,2966.05,2906.49,,
Y5,9,Y4,8,13,90,7,7,19,5,2249.16,1495.88,,
Y5,9,Y4,9,12,120,19,12,36,15,3338.66,1875.54,,
Y5,9,Y4,10,11,139,17,9,29,4,2930.18,2583.18,,
Y5,9,Y4,11,10,174,9,9,17,5,1858.48,1342.17,,
Y5,9,Y4,12,9,169,19,12,65,38,5624.22,2053.00,,
Y5,9,Y5,1,8,193,16,11,35,10,4012.42,2707.03,,
Y5,9,Y5,2,7,166,17,12,26,5,2257.75,1749.82,,
Y5,9,Y5,3,6,208,17,12,34,5,3401.30,2714.03,,
Y5,9,Y5,4,5,229,12,10,25,5,2886.97,2130.88,,
Y5,9,Y5,5,4,242,45,28,79,19,7349.42,5153.95,,
Y5,9,Y5,6,3,223,29,19,60,13,5577.42,4238.02,,
Y5,9,Y5,7,2,335,24,18,41,9,3461.25,2770.73,,
Y5,9,Y5,8,1,263,33,20,66,16,6044.58,4207.32,,
Y5,9,Y5,9,0,196,234,196,402,116,40809.32,27939.66,,
Y5,10,Y1,4,54,35,3,2,5,0,647.25,647.25,,
Y5,10,Y1,5,53,33,3,3,4,1,720.96,419.55,,
Y5,10,Y1,6,52,21,6,3,14,0,881.09,881.09,,
Y5,10,Y1,7,51,13,0,0,0,0,0.00,0.00,,
Y5,10,Y1,8,50,11,2,2,2,0,87.83,87.83,,
Y5,10,Y1,9,49,12,8,2,11,3,839.14,542.61,,
Y5,10,Y1,10,48,13,2,2,2,1,278.32,203.50,,
Y5,10,Y1,11,47,11,2,1,2,2,332.20,0.00,,
Y5,10,Y1,12,46,5,0,0,0,0,0.00,0.00,,
Y5,10,Y2,1,45,7,5,3,5,0,312.59,312.59,,
Y5,10,Y2,2,44,14,2,2,2,1,165.54,96.35,,
Y5,10,Y2,3,43,18,2,2,3,0,247.85,247.85,,
Y5,10,Y2,4,42,15,2,2,2,0,84.08,84.08,,
Y5,10,Y2,5,41,22,1,1,1,1,125.85,0.00,,
Y5,10,Y2,6,40,20,6,3,11,1,1125.56,994.03,,
Y5,10,Y2,7,39,17,1,1,2,0,96.25,96.25,,
Y5,10,Y2,8,38,9,1,1,1,0,167.52,167.52,,
Y5,10,Y2,9,37,14,1,1,3,0,233.80,233.80,,
Y5,10,Y2,10,36,15,0,0,0,0,0.00,0.00,,
Y5,10,Y2,11,35,43,4,3,8,0,1071.97,1071.97,,
Y5,10,Y2,12,34,27,6,2,9,4,579.39,386.55,,
Y5,10,Y3,1,33,33,3,3,5,3,600.66,165.54,,
Y5,10,Y3,2,32,24,2,1,3,0,399.35,399.35,,
Y5,10,Y3,3,31,19,2,2,3,0,357.40,357.40,,
Y5,10,Y3,4,30,38,0,0,0,0,0.00,0.00,,
Y5,10,Y3,5,29,40,5,4,17,11,1296.16,511.61,,
Y5,10,Y3,6,28,67,7,6,10,3,842.62,566.68,,
Y5,10,Y3,7,27,70,1,1,1,0,50.47,50.47,,
Y5,10,Y3,8,26,88,9,6,12,1,567.84,517.75,,
Y5,10,Y3,9,25,43,4,4,4,0,343.88,343.88,,
Y5,10,Y3,10,24,50,22,5,33,14,3455.31,2120.08,,
Y5,10,Y3,11,23,74,12,7,30,15,2921.86,1277.90,,
Y5,10,Y3,12,22,69,8,7,17,1,1493.98,1397.63,,
Y5,10,Y4,1,21,71,9,6,13,1,1447.07,1371.32,,
Y5,10,Y4,2,20,56,7,4,12,1,1461.05,1319.10,,
Y5,10,Y4,3,19,63,4,2,5,2,628.49,265.38,,
Y5,10,Y4,4,18,75,4,3,6,0,447.78,447.78,,
Y5,10,Y4,5,17,83,19,13,39,15,3902.54,2314.55,,
Y5,10,Y4,6,16,115,9,8,13,3,1082.47,859.61,,
Y5,10,Y4,7,15,134,21,15,32,6,3016.19,2413.51,,
Y5,10,Y4,8,14,90,14,9,28,2,2938.71,2788.23,,
Y5,10,Y4,9,13,120,16,12,19,2,1543.36,1401.22,,
Y5,10,Y4,10,12,139,21,15,60,13,5327.98,3873.49,,
Y5,10,Y4,11,11,174,11,10,30,12,3243.66,1719.99,,
Y5,10,Y4,12,10,169,13,11,45,16,3265.07,1818.72,,
Y5,10,Y5,1,9,193,31,19,63,21,5925.78,3794.18,,
Y5,10,Y5,2,8,166,20,14,38,19,3183.90,1476.31,,
Y5,10,Y5,3,7,208,25,17,51,20,4067.81,2288.85,,
Y5,10,Y5,4,6,229,30,23,52,16,5255.56,3773.54,,
Y5,10,Y5,5,5,242,38,23,63,15,4934.19,3867.04,,
Y5,10,Y5,6,4,223,23,21,39,9,4496.87,3396.83,,
Y5,10,Y5,7,3,335,41,29,93,26,8066.42,5805.65,,
Y5,10,Y5,8,2,263,37,33,63,13,5884.07,4897.48,,
Y5,10,Y5,9,1,196,47,29,94,32,9788.68,6350.22,,
Y5,10,Y5,10,0,215,252,211,442,136,43736.71,30011.70,,
Y5,11,Y1,4,55,35,2,2,4,0,384.09,384.09,,
Y5,11,Y1,5,54,33,2,1,4,2,316.10,126.22,,
Y5,11,Y1,6,53,21,3,1,7,0,452.82,452.82,,
Y5,11,Y1,7,52,13,0,0,0,0,0.00,0.00,,
Y5,11,Y1,8,51,11,0,0,0,0,0.00,0.00,,
Y5,11,Y1,9,50,12,10,3,13,0,1012.08,1012.08,,
Y5,11,Y1,10,49,13,0,0,0,0,0.00,0.00,,
Y5,11,Y1,11,48,11,0,0,0,0,0.00,0.00,,
Y5,11,Y1,12,47,5,1,1,1,0,50.47,50.47,,
Y5,11,Y2,1,46,7,2,2,2,0,84.66,84.66,,
Y5,11,Y2,2,45,14,0,0,0,0,0.00,0.00,,
Y5,11,Y2,3,44,18,2,1,2,0,251.04,251.04,,
Y5,11,Y2,4,43,15,1,1,1,0,75.66,75.66,,
Y5,11,Y2,5,42,22,2,2,3,2,173.88,106.65,,
Y5,11,Y2,6,41,20,7,4,38,18,3323.95,2082.44,,
Y5,11,Y2,7,40,17,0,0,0,0,0.00,0.00,,
Y5,11,Y2,8,39,9,0,0,0,0,0.00,0.00,,
Y5,11,Y2,9,38,14,0,0,0,0,0.00,0.00,,
Y5,11,Y2,10,37,15,1,1,2,0,193.94,193.94,,
Y5,11,Y2,11,36,43,6,5,14,0,1066.42,1066.42,,
Y5,11,Y2,12,35,27,4,2,10,3,664.86,539.67,,
Y5,11,Y3,1,34,33,0,0,0,0,0.00,0.00,,
Y5,11,Y3,2,33,24,0,0,0,0,0.00,0.00,,
Y5,11,Y3,3,32,19,0,0,0,0,0.00,0.00,,
Y5,11,Y3,4,31,38,3,2,5,2,426.61,220.36,,
Y5,11,Y3,5,30,40,3,3,5,1,297.77,170.97,,
Y5,11,Y3,6,29,67,7,4,8,1,678.05,551.25,,
Y5,11,Y3,7,28,70,4,3,9,6,864.61,343.64,,
Y5,11,Y3,8,27,88,5,4,9,5,653.65,235.58,,
Y5,11,Y3,9,26,43,5,3,7,0,432.94,432.94,,
Y5,11,Y3,10,25,50,6,4,15,5,968.89,545.05,,
Y5,11,Y3,11,24,74,8,4,23,5,2172.92,1756.15,,
Y5,11,Y3,12,23,69,4,3,6,2,374.74,202.64,,
Y5,11,Y4,1,22,71,9,6,16,6,1515.61,1026.59,,
Y5,11,Y4,2,21,56,6,4,16,7,1637.61,944.21,,
Y5,11,Y4,3,20,63,5,4,11,5,1063.29,580.61,,
Y5,11,Y4,4,19,75,5,5,7,1,794.23,731.59,,
Y5,11,Y4,5,18,83,28,14,55,20,4132.45,2640.83,,
Y5,11,Y4,6,17,115,6,6,12,3,944.71,691.49,,
Y5,11,Y4,7,16,134,10,5,14,3,1418.75,1231.76,,
Y5,11,Y4,8,15,90,5,4,6,0,576.22,576.22,,
Y5,11,Y4,9,14,120,7,6,30,4,2771.67,2227.10,,
Y5,11,Y4,10,13,139,20,9,52,16,3932.17,2542.61,,
Y5,11,Y4,11,12,174,22,19,59,30,5513.77,2912.13,,
Y5,11,Y4,12,11,169,18,14,27,4,1937.23,1623.94,,
Y5,11,Y5,1,10,193,11,11,23,3,2160.70,1808.92,,
Y5,11,Y5,2,9,166,13,8,28,17,2390.19,1086.36,,
Y5,11,Y5,3,8,208,16,14,32,9,2607.27,1854.64,,
Y5,11,Y5,4,7,229,24,20,61,24,5153.64,3084.69,,
Y5,11,Y5,5,6,242,30,20,62,18,5396.49,4007.25,,
Y5,11,Y5,6,5,223,17,16,27,6,2561.38,1862.17,,
Y5,11,Y5,7,4,335,21,17,42,6,3035.84,2461.47,,
Y5,11,Y5,8,3,263,23,18,46,15,3922.96,2536.02,,
Y5,11,Y5,9,2,196,28,23,56,11,5277.27,4085.23,,
Y5,11,Y5,10,1,215,44,37,76,19,6823.57,5150.56,,
Y5,11,Y5,11,0,277,312,277,516,150,50271.75,34203.90,,
Y5,12,Y1,4,56,35,2,2,4,0,436.17,436.17,,
Y5,12,Y1,5,55,33,3,3,6,4,622.54,145.64,,
Y5,12,Y1,6,54,21,5,2,8,0,773.86,773.86,,
Y5,12,Y1,7,53,13,0,0,0,0,0.00,0.00,,
Y5,12,Y1,8,52,11,1,1,1,0,200.66,200.66,,
Y5,12,Y1,9,51,12,8,5,14,5,1260.04,915.81,,
Y5,12,Y1,10,50,13,0,0,0,0,0.00,0.00,,
Y5,12,Y1,11,49,11,0,0,0,0,0.00,0.00,,
Y5,12,Y1,12,48,5,1,1,1,0,51.04,51.04,,
Y5,12,Y2,1,47,7,3,1,5,0,437.03,437.03,,
Y5,12,Y2,2,46,14,0,0,0,0,0.00,0.00,,
Y5,12,Y2,3,45,18,1,1,2,1,185.42,85.13,,
Y5,12,Y2,4,44,15,3,1,3,0,175.85,175.85,,
Y5,12,Y2,5,43,22,3,3,6,1,478.60,369.79,,
Y5,12,Y2,6,42,20,2,2,8,4,548.48,329.17,,
Y5,12,Y2,7,41,17,2,1,4,4,530.87,0.00,,
Y5,12,Y2,8,40,9,1,1,7,5,542.90,264.02,,
Y5,12,Y2,9,39,14,2,2,2,0,216.67,216.67,,
Y5,12,Y2,10,38,15,0,0,0,0,0.00,0.00,,
Y5,12,Y2,11,37,43,4,4,5,0,406.72,406.72,,
Y5,12,Y2,12,36,27,6,4,9,2,571.12,423.58,,
Y5,12,Y3,1,35,33,2,2,2,1,191.10,62.41,,
Y5,12,Y3,2,34,24,1,1,1,0,97.44,97.44,,
Y5,12,Y3,3,33,19,0,0,0,0,0.00,0.00,,
Y5,12,Y3,4,32,38,0,0,0,0,0.00,0.00,,
Y5,12,Y3,5,31,40,5,5,10,3,950.76,677.37,,
Y5,12,Y3,6,30,67,6,6,8,1,659.28,508.81,,
Y5,12,Y3,7,29,70,3,2,3,1,409.75,368.18,,
Y5,12,Y3,8,28,88,5,4,7,2,486.08,372.63,,
Y5,12,Y3,9,27,43,4,3,6,2,409.47,252.46,,
Y5,12,Y3,10,26,50,7,3,19,7,1229.26,825.57,,
Y5,12,Y3,11,25,74,8,4,9,0,1036.08,1036.08,,
Y5,12,Y3,12,24,69,10,6,14,1,1146.98,1059.95,,
Y5,12,Y4,1,23,71,5,4,5,1,336.65,268.56,,
Y5,12,Y4,2,22,56,4,4,7,0,701.99,701.99,,
Y5,12,Y4,3,21,63,7,6,13,4,1455.21,755.78,,
Y5,12,Y4,4,20,75,13,5,27,5,3043.84,2535.80,,
Y5,12,Y4,5,19,83,30,14,76,31,6228.04,3409.56,,
Y5,12,Y4,6,18,115,16,11,22,5,1932.96,1521.51,,
Y5,12,Y4,7,17,134,17,7,23,2,2228.88,Y3.27,,
Y5,12,Y4,8,16,90,11,5,23,8,2169.22,1509.00,,
Y5,12,Y4,9,15,120,10,10,26,8,2272.16,1526.70,,
Y5,12,Y4,10,14,139,21,13,50,25,4135.42,2102.75,,
Y5,12,Y4,11,13,174,15,11,35,10,3703.52,2656.17,,
Y5,12,Y4,12,12,169,14,9,24,10,1889.77,1187.12,,
Y5,12,Y5,1,11,193,20,14,39,11,3791.76,2717.05,,
Y5,12,Y5,2,10,166,15,11,27,14,2284.38,995.93,,
Y5,12,Y5,3,9,208,20,15,35,12,3146.32,2048.02,,
Y5,12,Y5,4,8,229,24,18,71,22,5708.24,3786.08,,
Y5,12,Y5,5,7,242,35,23,66,18,5340.91,4080.30,,
Y5,12,Y5,6,6,223,24,20,35,11,3551.61,2192.80,,
Y5,12,Y5,7,5,335,39,22,54,13,4257.49,3072.82,,
Y5,12,Y5,8,4,263,25,19,36,11,3540.15,2510.89,,
Y5,12,Y5,9,3,196,21,18,37,8,3283.62,2559.94,,
Y5,12,Y5,10,2,215,17,16,37,12,2975.66,2092.33,,
Y5,12,Y5,11,1,277,46,38,83,11,6407.50,5527.86,,
Y5,12,Y5,12,0,241,274,241,515,200,51075.28,29735.31,,
