CustomerType,orderDate,grossSales,numberOfOrders
New Customer Order,2012-05-07,710.8237548,4
New Customer Order,2012-05-08,1096.072797,6
New Customer Order,2012-05-09,401.0536398,1
New Customer Order,2012-05-10,1276.436782,7
New Customer Order,2012-05-11,684.9616858,4
New Customer Order,2012-05-12,402.5862069,2
New Customer Order,2012-05-13,927.7777778,6
New Customer Order,2012-05-14,589.2720307,3
New Customer Order,2012-05-15,645.5938697,4
New Customer Order,2012-05-16,976.8199234,7
New Customer Order,2012-05-17,723.8505747,4
New Customer Order,2012-05-18,1077.969349,11
New Customer Order,2012-05-19,695.3065134,5
New Customer Order,2012-05-20,872.5095785,9
New Customer Order,2012-05-21,535.2490421,2
New Customer Order,2012-05-22,952.7777778,8
New Customer Order,2012-05-23,1605.268199,11
New Customer Order,2012-05-24,1496.551724,10
New Customer Order,2012-05-25,4522.126437,21
New Customer Order,2012-05-26,636.2068966,3
New Customer Order,2012-05-27,165.4214559,3
New Customer Order,2012-05-28,736.8773946,3
New Customer Order,2012-05-29,2201.340996,13
New Customer Order,2012-05-30,885.8237548,7
New Customer Order,2012-05-31,1728.544061,12
New Customer Order,2012-06-01,1112.547893,7
New Customer Order,2012-06-02,171.2643678,2
New Customer Order,2012-06-03,1334.386973,9
New Customer Order,2012-06-04,888.6015326,6
New Customer Order,2012-06-05,853.4482759,6
New Customer Order,2012-06-06,369.348659,3
New Customer Order,2012-06-07,600.862069,5
New Customer Order,2012-06-08,935.6321839,9
New Customer Order,2012-06-09,675.3831418,3
New Customer Order,2012-06-10,1133.812261,8
New Customer Order,2012-06-11,274.5210728,3
New Customer Order,2012-06-12,511.6858238,4
New Customer Order,2012-06-13,1968.773946,9
New Customer Order,2012-06-14,770.3065134,4
New Customer Order,2012-06-15,944.2528736,6
New Customer Order,2012-06-16,157.8544061,2
New Customer Order,2012-06-17,1232.183908,8
New Customer Order,2012-06-18,629.789272,4
New Customer Order,2012-06-19,2444.252874,12
New Customer Order,2012-06-20,603.4482759,6
New Customer Order,2012-06-21,1248.563218,6
New Customer Order,2012-06-22,1697.701149,10
New Customer Order,2012-06-23,722.2222222,4
New Customer Order,2012-06-24,3192.241379,20
New Customer Order,2012-06-25,676.2452107,5
New Customer Order,2012-06-26,500.1915709,4
New Customer Order,2012-06-27,675.862069,7
New Customer Order,2012-06-28,725.862069,5
New Customer Order,2012-06-29,512.6436782,4
New Customer Order,2012-06-30,710.8237548,4
New Customer Order,2012-07-01,1554.310345,8
New Customer Order,2012-07-02,341.4750958,3
New Customer Order,2012-07-03,1525.670498,8
New Customer Order,2012-07-04,1057.279693,5
New Customer Order,2012-07-05,1247.318008,8
New Customer Order,2012-07-06,495.5938697,5
New Customer Order,2012-07-07,4381.800766,23
New Customer Order,2012-07-08,610.3448276,5
New Customer Order,2012-07-09,347.3180077,2
New Customer Order,2012-07-10,2028.735632,16
New Customer Order,2012-07-11,181.6091954,2
New Customer Order,2012-07-12,2266.762452,16
New Customer Order,2012-07-13,622.7011494,4
New Customer Order,2012-07-14,514.6551724,3
New Customer Order,2012-07-15,1016.762452,8
New Customer Order,2012-07-16,1507.854406,6
New Customer Order,2012-07-17,1378.735632,9
New Customer Order,2012-07-18,120.5076628,1
New Customer Order,2012-07-19,1919.233716,14
New Customer Order,2012-07-20,1146.37931,10
New Customer Order,2012-07-21,3059.54023,16
New Customer Order,2012-07-22,3062.260536,25
New Customer Order,2012-07-23,2943.007663,12
New Customer Order,2012-07-24,925.5747126,8
New Customer Order,2012-07-25,1028.35249,6
New Customer Order,2012-07-26,1703.35249,13
New Customer Order,2012-07-27,860.3448276,7
New Customer Order,2012-07-28,1401.724138,9
New Customer Order,2012-07-29,1451.149425,15
New Customer Order,2012-07-30,1831.992337,13
New Customer Order,2012-07-31,2876.915709,22
New Customer Order,2012-08-01,516.2835249,5
New Customer Order,2012-08-02,1097.605364,3
New Customer Order,2012-08-03,1152.681992,7
New Customer Order,2012-08-04,1553.065134,10
New Customer Order,2012-08-05,865.2298851,8
New Customer Order,2012-08-06,814.9425287,7
New Customer Order,2012-08-07,1013.122605,7
New Customer Order,2012-08-08,957.9501916,5
New Customer Order,2012-08-09,424.7126437,3
New Customer Order,2012-08-10,1406.800766,6
New Customer Order,2012-08-11,2341.570881,15
