"","forecastTotal","forecastTotalorder","forecastnumcust.mean","forecastTotalreturn","forecastTotalitemorder","Average_Item_Value","Total_Return_Value","Return_Rate"
"1",130660.28802103,834.241357428548,262.222388254931,455.149452577636,1550.72088333171,84.2577729012765,38349.8792114268,0.293508301506686
"2",134584.751634408,790.089540417356,268.892246718127,472.20942316138,1489.66340857673,90.3457457970285,42662.1125078995,0.316990684232852
"3",141734.193090565,872.547966534423,275.562105181323,488.135671834579,1588.43279038072,89.2289519260012,43555.8343954939,0.307306468860783
"4",153771.283506296,945.060155976357,282.231963644519,470.025929776474,1708.83624605089,89.9859678548256,42295.7382078003,0.27505615641212
"5",155308.783283559,973.99440951997,288.901822107715,503.912979785453,1820.61185354371,85.3058179211894,42986.7089017019,0.276782214069747
"6",148191.656799205,930.533105692506,295.571680570911,503.574764983861,1737.04357310321,85.3125730947912,42961.2589463779,0.289903358085733
"7",154064.802272393,1204.52719623013,302.241539034108,517.810304163121,2091.04478619634,73.6783847430837,38151.4268140636,0.247632335558451
"8",145490.601687807,971.862411482743,308.911397497304,491.165590195959,1651.43944658573,88.0992651523504,43271.3275643845,0.297416651401552
"9",162769.93575149,953.74776976631,315.5812559605,522.305419955215,1833.20629417181,88.7897539240256,46375.3697110084,0.284913608258789
"10",174255.771065111,1077.8894645327,322.251114423696,561.382008213924,1980.29444390516,87.9948795500719,49398.7421943617,0.283484110123984
"11",162355.07216664,1016.45486271003,328.920972886892,555.093123656052,1890.87663916009,85.862329040543,47661.5884314987,0.293563901610535
"12",164372.99663571,1041.88755471818,335.590831350088,550.019804809447,1973.39077490309,83.2947020560499,45813.7357665296,0.278718139257775
